Address,Amount,Price,Proceeds
0xa935433de1e70538269c417a01543b3da8478a48,1145.0000,0.98 ,1118.37
0xa935433de1e70538269c417a01543b3da8478a48,1000.0000,1.00 ,998.47
0xa935433de1e70538269c417a01543b3da8478a48,1000.0000,1.00 ,996.73
0xa935433de1e70538269c417a01543b3da8478a48,100.0000,0.94 ,94.00
0xb658952a1a6c830c1aad7abc701b6ba92c12df75,1000.0000,0.98 ,978.78
0xb658952a1a6c830c1aad7abc701b6ba92c12df75,5000.0000,0.97 ,4840.42
0xb658952a1a6c830c1aad7abc701b6ba92c12df75,10000.0000,0.94 ,9400.00
0xed65a36d5ebd6e89a61db3b0ae7be590b93fc560,339.4881,0.98 ,331.34
0xed65a36d5ebd6e89a61db3b0ae7be590b93fc560,500.0000,0.94 ,470.00
0x806cafaa1b34c9b9d2fc33bbae3de209e9d137e0,9419.8315,0.98 ,9204.93
0x806cafaa1b34c9b9d2fc33bbae3de209e9d137e0,9048.5315,0.99 ,8933.34
0x806cafaa1b34c9b9d2fc33bbae3de209e9d137e0,951.4685,0.98 ,929.04
0x806cafaa1b34c9b9d2fc33bbae3de209e9d137e0,580.1685,0.99 ,572.22